Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
13-Jul-30, 15:00 ,Group 1,Pocitos,Montevideo,Uruguay,France,4,1,Mexico, ,France,,,
13-Jul-30, 15:00 ,Group 4,Parque Central,Montevideo,Uruguay,USA,3,0,Belgium, ,USA,,,
14-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo,Uruguay,Yugoslavia,2,1,Brazil, ,Yugoslavia,,,
14-Jul-30, 14:50 ,Group 3,Pocitos,Montevideo,Uruguay,Romania,3,1,Peru, ,Romania,,,
15-Jul-30, 16:00 ,Group 1,Parque Central,Montevideo,Uruguay,Argentina,1,0,France, ,Argentina,,,
16-Jul-30, 14:45 ,Group 1,Parque Central,Montevideo,Uruguay,Chile,3,0,Mexico, ,Chile,,,
17-Jul-30, 12:45 ,Group 2,Parque Central,Montevideo,Uruguay,Yugoslavia,4,0,Bolivia, ,Yugoslavia,,,
17-Jul-30, 14:45 ,Group 4,Parque Central,Montevideo,Uruguay,USA,3,0,Paraguay, ,USA,,,
18-Jul-30, 14:30 ,Group 3,Estadio Centenario,Montevideo,Uruguay,Uruguay,1,0,Peru, ,Uruguay,,,
19-Jul-30, 12:50 ,Group 1,Estadio Centenario,Montevideo,Uruguay,Chile,1,0,France, ,Chile,,,
19-Jul-30, 15:00 ,Group 1,Estadio Centenario,Montevideo,Uruguay,Argentina,6,3,Mexico, ,Argentina,,,
20-Jul-30, 13:00 ,Group 2,Estadio Centenario,Montevideo,Uruguay,Brazil,4,0,Bolivia, ,Brazil,,,
20-Jul-30, 15:00 ,Group 4,Estadio Centenario,Montevideo,Uruguay,Paraguay,1,0,Belgium, ,Paraguay,,,
21-Jul-30, 14:50 ,Group 3,Estadio Centenario,Montevideo,Uruguay,Uruguay,4,0,Romania, ,Uruguay,,,
22-Jul-30, 14:45 ,Group 1,Estadio Centenario,Montevideo,Uruguay,Argentina,3,1,Chile, ,Argentina,,,
26-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo,Uruguay,Argentina,6,1,USA, ,Argentina,,,
27-Jul-30, 14:45 ,Semi-finals,Estadio Centenario,Montevideo,Uruguay,Uruguay,6,1,Yugoslavia, ,Uruguay,,,
30-Jul-30, 14:15 ,Final,Estadio Centenario,Montevideo,Uruguay,Uruguay,4,2,Argentina, ,Uruguay,,,
